council_name,lga_short_name,financial_year,approved_cap_pct,source_url,captured_date,notes
Hepburn Shire Council,Hepburn,2025-26,10.00,https://www.esc.vic.gov.au/local-government/annual-council-rate-caps,2026-04-08,Approved higher cap for 2025-26 financial year
Indigo Shire Council,Indigo,2025-26,7.54,https://www.esc.vic.gov.au/local-government/annual-council-rate-caps,2026-04-08,Approved higher cap for 2025-26 financial year
